school_name,cca,niche_programmes,sports_achievement_2025,arts_distinction_2024,url_address,postal_code,nature_code,session_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mother_tongue,X,Y,lat,long,school_tier
BOON LAY GARDEN PRIMARY SCHOOL,WUSHU; TRACK AND FIELD; TAEKWONDO; NETBALL; FLOORBALL; BOWLING; INDIAN DANCE; MALAY DANCE; CHOIR; CHINESE DANCE; SCOUTS; RED CROSS YOUTH; DESIGN AND INNOVATION; AUDIO VISUAL AID; ART AND CRAFTS; ENVIRONMENTAL SCIENCE,INTERDISCIPLINARY; COMMUNITY SERVICE & STUDENT LEADERSHIP,,CHINESE_DANCE; MALAY_DANCE; INDIAN_DANCE,www.boonlaygardenpri.moe.edu.sg,649930,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,14594.0803428125,36110.2863859087,1.34284013791617,103.712858381937,
BUKIT PANJANG PRIMARY SCHOOL,HOCKEY; TABLE TENNIS; WUSHU; FOOTBALL; BADMINTON; BASKETBALL; FLOORBALL; MODERN DANCE; CHOIR; CHINESE DANCE; CHINESE DRUMS; BRASS BAND; RED CROSS YOUTH; SCOUTS; INFOCOMM TECHNOLOGY (COMPUTING); ROBOTICS; ENVIRONMENTAL SCIENCE; ART AND CRAFTS; CHINESE CALLIGRAPHY AND BRUSH PAINTING; STUDENT LEADERSHIP (PREFECT),LANGUAGES; MUSIC & PERFORMING ARTS,,CHINESE_DANCE,http://www.bukitpanjangpri.moe.edu.sg,679676,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,20888.5750349946,39500.3618246447,1.37350089986584,103.769417337654,3.0
BUKIT TIMAH PRIMARY SCHOOL,RUGBY; NETBALL; WUSHU; BADMINTON; BASKETBALL; FOOTBALL; MODERN DANCE; SINGAPORE NATIONAL YOUTH ORCHESTRA; BRASS BAND; CHOIR; ENGLISH DRAMA; SCOUTS; BOYS' BRIGADE; INFOCOMM TECHNOLOGY (COMPUTING); ENVIRONMENTAL SCIENCE; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT); STUDENT LEADERSHIP (PEER SUPPORT); STUDENT LEADERSHIP (HOUSE),INTERDISCIPLINARY; MUSIC & PERFORMING ARTS,,INTERNATIONAL_DANCE; CHOIR; BRASS_BAND,http://www.bukittimahpri.moe.edu.sg,598112,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,20603.3479896449,35547.1996132508,1.3377498622588,103.766855344779,
BUKIT VIEW PRIMARY SCHOOL,WUSHU; NETBALL; FOOTBALL; BASKETBALL; BADMINTON; MALAY DANCE; ENGLISH DRAMA; CHOIR; CHINESE DANCE; ANGKLUNG/KULINTANG ENSEMBLE; INDIAN DANCE; RED CROSS YOUTH; INFOCOMM TECHNOLOGY (COMPUTING); STRATEGY GAMES; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); COMMUNITY SERVICE; ART AND CRAFTS; STUDENT LEADERSHIP (PEER SUPPORT); STUDENT INITIATED ACTIVITIES (CLUBS & SOCIETIES); STUDENT LEADERSHIP (PREFECT),INTERDISCIPLINARY; MUSIC & PERFORMING ARTS,,CHINESE_DANCE; INDIAN_DANCE,http://www.bukitviewpri.moe.edu.sg,659634,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,19135.5884738322,36444.0823157039,1.34586054788695,103.75366641455,
CANBERRA PRIMARY SCHOOL,"WUSHU; SWIMMING; TAEKWONDO; TRACK AND FIELD; FOOTBALL; FLOORBALL; BASKETBALL; BADMINTON; ARTISTIC GYMNASTICS; MODERN DANCE; CONCERT BAND; CHOIR; SCOUTS; GIRL GUIDES (BROWNIES); PHYSICAL SCIENCE; ROBOTICS; MEDIA RESOURCE LIBRARY; HOME ECONOMICS; ENGLISH LANGUAGE, DRAMA AND DEBATING; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT)",ICT & MEDIA; MUSIC & PERFORMING ARTS,,,http://www.canberrapri.moe.edu.sg,757714,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,26057.0121687725,48097.4040875677,1.45125024371543,103.815858858929,3.0
CANOSSA CATHOLIC PRIMARY SCHOOL,TRACK AND FIELD; TAEKWONDO; MODULAR CCA (SPORTS); FLOORBALL; MODERN DANCE; PERCUSSION ENSEMBLE; GUITAR ENSEMBLE; HANDBELL ENSEMBLE; CHOIR; SCOUTS; GIRL GUIDES (BROWNIES); INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ART AND CRAFTS,STEM - SUSTAINABILITY; SPORTS & OUTDOOR EDUCATION,{'M': ['TAEKWONDO']},INTERNATIONAL_DANCE; PERCUSSION_ENSEMBLE,https://canossacatholicpri.moe.edu.sg/,387621,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,33443.1189393327,34319.1509661097,1.32664424544839,103.882227964852,3.0
CANTONMENT PRIMARY SCHOOL,WUSHU; VOLLEYBALL; OUTDOOR ADVENTURE; HOCKEY; FOOTBALL; BASKETBALL; BADMINTON; SINGAPORE NATIONAL YOUTH CHINESE ORCHESTRA; MODERN DANCE; GUITAR ENSEMBLE; CHOIR; SCOUTS; PHYSICAL SCIENCE; ART AND CRAFTS; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); STUDENT LEADERSHIP (PREFECT); STUDENT LEADERSHIP (PEER SUPPORT),INTERDISCIPLINARY; MUSIC & PERFORMING ARTS/ VISUAL ARTS & DESIGN,,,http://www.cantonmentpri.moe.edu.sg,88256,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,28739.4305021614,28660.7930697445,1.27547252623201,103.839962631748,
CASUARINA PRIMARY SCHOOL,RUGBY; WUSHU; FOOTBALL; BADMINTON; FLOORBALL; MODERN DANCE; MALAY DANCE; CHOIR; CONCERT BAND; CHINESE DANCE; GIRL GUIDES (BROWNIES); SCOUTS; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ENVIRONMENTAL SCIENCE; ART AND CRAFTS,STEM - SUSTAINABILITY; VISUAL ARTS & DESIGN,,MALAY_DANCE,http://www.casuarinapri.moe.edu.sg/,518935,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,41766.4977676729,39385.5958609674,1.37246063927999,103.957020286115,3.0
CATHOLIC HIGH SCHOOL,SOFTBALL; SWIMMING; TENNIS; TAEKWONDO; TRACK AND FIELD; TRAMPOLINE; VOLLEYBALL; WATER POLO; WUSHU; TABLE TENNIS; MODULAR CCA (SPORTS); BASKETBALL; ARTISTIC GYMNASTICS; FENCING; FLOORBALL; GOLF; JUDO; SINGAPORE NATIONAL YOUTH CHINESE ORCHESTRA; SINGAPORE NATIONAL YOUTH ORCHESTRA; CHINESE DRAMA; CHINESE ORCHESTRA; CHOIR; CONCERT BAND; MODERN DANCE; ENGLISH DRAMA; SCOUTS; ST JOHN BRIGADE; NATIONAL POLICE CADET CORPS; NATIONAL CADET CORPS (LAND); NATIONAL CADET CORPS (AIR); SINGAPORE YOUTH FLYING CLUB; ART AND CRAFTS; INFOCOMM TECHNOLOGY (COMPUTING),STEM - SUSTAINABILITY; SPORTS & OUTDOOR EDUCATION,"{'M': ['SOFTBALL', 'WUSHU', 'TABLE TENNIS', 'VOLLEYBALL']}",INTERNATIONAL_DANCE; CHOIR; CO_FULL_ENSEMBLE,http://www.catholichigh.moe.edu.sg,579767,BOYS' SCHOOL,SINGLE SESSION,Y,Y,Y,Y,CHINESE,29288.9696279876,37402.0303423572,1.35452517065756,103.844900804804,2.0
CEDAR PRIMARY SCHOOL,"SOFTBALL; OUTDOOR ADVENTURE; MODULAR CCA (SPORTS); TRACK AND FIELD; FOOTBALL; MODERN DANCE; BRASS BAND; GIRLS' BRIGADE; BOYS' BRIGADE; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ROBOTICS; ENGLISH LANGUAGE, DRAMA AND DEBATING; DESIGN AND INNOVATION; COMMUNITY SERVICE; ART AND CRAFTS",INTERDISCIPLINARY; COMMUNITY SERVICE & STUDENT LEADERSHIP,,,Http://www.cedarpri.moe.edu.sg,349700,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,32707.7091499828,35316.1469013225,1.33566084356265,103.87562006259,
CHANGKAT PRIMARY SCHOOL,WUSHU; TRACK AND FIELD; FLOORBALL; BASKETBALL; SINGAPORE NATIONAL YOUTH ORCHESTRA; MODERN DANCE; GUITAR ENSEMBLE; CHOIR; SCOUTS; INFOCOMM TECHNOLOGY (COMPUTING); ENVIRONMENTAL SCIENCE; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT),STEM - SUSTAINABILITY; SPORTS & OUTDOOR EDUCATION,,INTERNATIONAL_DANCE,http://www.changkatpri.moe.edu.sg/,529896,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,41216.8906296864,35821.8419446945,1.34023163951633,103.952080114035,
CHIJ (KATONG) PRIMARY,TRACK AND FIELD; SAILING; NETBALL; MODULAR CCA (SPORTS); FOOTBALL; BOWLING; BADMINTON; ARTISTIC GYMNASTICS; MODERN DANCE; HANDBELL ENSEMBLE; CHOIR; GIRL GUIDES (BROWNIES); SPEECH AND DRAMA; PHYSICAL SCIENCE; INFOCOMM TECHNOLOGY (COMPUTING); ART AND CRAFTS,LANGUAGES; COMMUNITY SERVICE & STUDENT LEADERSHIP,{'F': ['BOWLING']},INTERNATIONAL_DANCE,http://chijkcp.moe.edu.sg/,424821,GIRLS' SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,36656.9804726057,32090.1643723603,1.30648535277087,103.911105620496,3.0
CHIJ (KELLOCK),RHYTHMIC GYMNASTICS; NETBALL; MODULAR CCA (SPORTS); BADMINTON; ARTISTIC GYMNASTICS; HEALTH AND FITNESS; TAP DANCE; STRING ENSEMBLE; CHOIR; GIRL GUIDES (BROWNIES); STRATEGY GAMES; ROBOTICS; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); INFOCOMM TECHNOLOGY (COMPUTING); HOME ECONOMICS; ENVIRONMENTAL SCIENCE; CERAMICS; ART AND CRAFTS,INTERDISCIPLINARY; MUSIC & PERFORMING ARTS,"{'F': ['NETBALL', 'TRACK AND FIELD', 'GYMNASTICS (RHYTHMIC)']}",INTERNATIONAL_DANCE; CHOIR,http://www.chijkellock.moe.edu.sg/,99757,GIRLS' SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,27425.6197932558,28611.0557805933,1.275022722964,103.828157564896,3.0
CHIJ OUR LADY OF GOOD COUNSEL,RHYTHMIC GYMNASTICS; NETBALL; BADMINTON; BOWLING; MODERN DANCE; CHOIR; ENGLISH DRAMA; GIRL GUIDES (BROWNIES); ROBOTICS; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ART AND CRAFTS,LANGUAGES; COMMUNITY SERVICE & STUDENT LEADERSHIP,{'F': ['NETBALL']},CHOIR,http://www.chijourladyofgoodcounsel.moe.edu.sg,558979,GIRLS' SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,31415.5340866428,37723.1973494291,1.35742952269615,103.864009397373,3.0
CHIJ OUR LADY OF THE NATIVITY,NETBALL; TABLE TENNIS; FLOORBALL; BOWLING; MODERN DANCE; BRASS BAND; CHOIR; GIRL GUIDES (BROWNIES); INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT),LANGUAGES; SPORTS & OUTDOOR EDUCATION,{'F': ['FLOORBALL']},CHINESE_DANCE; MALAY_DANCE; INTERNATIONAL_DANCE; BRASS_BAND,http://www.chijourladyofthenativity.moe.edu.sg/,534793,GIRLS' SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,35151.0338091562,39478.4768616967,1.37330297140128,103.897575728303,3.0
CHIJ OUR LADY QUEEN OF PEACE,SOFTBALL; RHYTHMIC GYMNASTICS; NETBALL; MODERN DANCE; GUITAR ENSEMBLE; ENGLISH DRAMA; CHOIR; CHINESE DANCE; GIRL GUIDES (BROWNIES); PUBLICATION; PHYSICAL SCIENCE; ART AND CRAFTS,STEM - SUSTAINABILITY; COMMUNITY SERVICE & STUDENT LEADERSHIP,"{'F': ['SOFTBALL', 'SAILING']}",CHINESE_DANCE; CHOIR,http://www.chijourladyqueenofpeace.moe.edu.sg/,679287,GIRLS' SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,20665.4072236279,38737.7066427004,1.366603668561,103.767412204602,3.0
CHIJ PRIMARY (TOA PAYOH),NETBALL; WUSHU; RHYTHMIC GYMNASTICS; SWIMMING; TAEKWONDO; TRACK AND FIELD; TENNIS; HEALTH AND FITNESS; SQUASH; FENCING; ARTISTIC SWIMMING; BADMINTON; ARTISTIC GYMNASTICS; BOWLING; MODERN DANCE; STRING ENSEMBLE; HANDBELL ENSEMBLE; CHOIR; CULTURAL DANCE; ENGLISH DRAMA; GIRL GUIDES (BROWNIES); INTERNATIONAL CHESS; ART AND CRAFTS; DIGITAL MEDIA; ENVIRONMENTAL SCIENCE,STEM - SUSTAINABILITY; SPORTS & OUTDOOR EDUCATION,"{'F': ['GYMNASTICS (ARTISTIC)', 'TENNIS (INDIVIDUAL)', 'BOWLING', 'TENNIS (DOUBLES)', 'BADMINTON']}",INDIAN_DANCE; INTERNATIONAL_DANCE; CHOIR,http://www.chijpritoapayoh.moe.edu.sg,319765,GIRLS' SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,28949.1537291808,34994.5345916729,1.33275264711587,103.841847263786,2.0
CHIJ ST. NICHOLAS GIRLS' SCHOOL,HOCKEY; NETBALL; RHYTHMIC GYMNASTICS; TABLE TENNIS; TRACK AND FIELD; TRAMPOLINE; BADMINTON; ARTISTIC GYMNASTICS; GUZHENG ENSEMBLE; SINGAPORE NATIONAL YOUTH ORCHESTRA; SP-CCA (ETHNIC DANCE); STRING ENSEMBLE; SINGAPORE NATIONAL YOUTH CHINESE ORCHESTRA; ENGLISH DRAMA; CHINESE DANCE; CHINESE ORCHESTRA; CHOIR; CONCERT BAND; CHINESE DRAMA; NATIONAL POLICE CADET CORPS; ST JOHN BRIGADE; GIRL GUIDES (BROWNIES); GIRL GUIDES; INFOCOMM TECHNOLOGY (COMPUTING); MEDIA RESOURCE LIBRARY; PUBLICATION; STRATEGY GAMES; ENVIRONMENTAL SCIENCE; ART AND CRAFTS; AUDIO VISUAL AID; CHINESE CULTURE AND LANGUAGE; COMMUNITY SERVICE; DEBATING AND PUBLIC SPEAKING; DESIGN AND INNOVATION,STEM - SUSTAINABILITY; COMMUNITY SERVICE & STUDENT LEADERSHIP,"{'F': ['GYMNASTICS (RHYTHMIC)', 'GYMNASTICS (ARTISTIC)', 'NETBALL']}",CHINESE_DANCE; CHOIR; GUZHENG_ENSEMBLE,http://www.chijstnicholasgirls.moe.edu.sg,569405,GIRLS' SCHOOL,SINGLE SESSION,Y,Y,N,Y,CHINESE,28104.0195931299,39497.6106162649,1.37347687878916,103.834253269436,1.0
CHONGFU SCHOOL,WUSHU; TRACK AND FIELD; FOOTBALL; TABLE TENNIS; HEALTH AND FITNESS; FLOORBALL; MALAY DANCE; MODERN DANCE; GUZHENG ENSEMBLE; CHINESE ORCHESTRA; CHINESE DRUMS; SCOUTS; GIRL GUIDES (BROWNIES); RED CROSS YOUTH; INFOCOMM TECHNOLOGY (COMPUTING); ENVIRONMENTAL SCIENCE; ART AND CRAFTS; CHINESE CULTURE AND LANGUAGE; ENGLISH CULTURE AND LANGUAGE,INNOVATION & ENTERPRISE; SPORTS & OUTDOOR EDUCATION,"{'F': ['TABLE TENNIS', 'WUSHU'], 'M': ['WUSHU', 'FLOORBALL']}",MALAY_DANCE; INTERNATIONAL_DANCE; GUZHENG_ENSEMBLE,http://www.chongfu.moe.edu.sg/,768959,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,28666.6613053558,46675.9986570273,1.43839562897006,103.839309173817,2.0
